name,patterns,k,max_abs_nonzero,empirical_k_nc,argmax_m
TM,1,2,0.3359375,No,64
TM,1,3,0.3790723299039749,No,32
TM,1,4,0.4489639222873314,No,64
TM,1,5,0.5157892178065822,No,16
TM,1,6,0.5784812036096656,No,64
TM,1,7,0.6337805603812409,No,64
TM,1,8,0.6795356458404788,No,32
RS,11,2,6.123233995736766e-17,Yes,1
RS,11,3,0.3406445889133622,No,1
RS,11,4,0.4999755913021799,No,1
RS,11,5,0.5950413466665254,No,1
RS,11,6,0.6614493650419151,No,1
RS,11,7,0.7119787271019609,No,1
RS,11,8,0.752138322073187,No,1
RS*TM,11 1,2,0.0023193359375,Yes,53
RS*TM,11 1,3,0.24998692388908306,No,1
RS*TM,11 1,4,0.3726688986656968,No,1
RS*TM,11 1,5,0.44242836675078817,No,1
RS*TM,11 1,6,0.49093031783286495,No,1
RS*TM,11 1,7,0.5295142774188436,No,1
RS*TM,11 1,8,0.5624786310619155,No,1
"A_{1,101,111}",1 101 111,2,0.0013427734375,Yes,53
"A_{1,101,111}",1 101 111,3,0.2465826657730852,No,2
"A_{1,101,111}",1 101 111,4,0.35834980980378517,No,2
"A_{1,101,111}",1 101 111,5,0.4244310652597514,No,2
"A_{1,101,111}",1 101 111,6,0.4719096979432464,No,2
"A_{1,101,111}",1 101 111,7,0.5103540683692073,No,2
"A_{1,101,111}",1 101 111,8,0.5441755473697193,No,2
"{101,111}",101 111,2,6.123233995736766e-17,Yes,1
"{101,111}",101 111,3,0.29603124854668594,No,1
"{101,111}",101 111,4,0.4809734515954897,No,1
"{101,111}",101 111,5,0.5975368644747204,No,1
"{101,111}",101 111,6,0.6761424334246692,No,1
"{101,111}",101 111,7,0.7322598775631234,No,1
"{101,111}",101 111,8,0.7745945634535069,No,1
{01},01,2,0.0023193359375,Yes,53
{01},01,3,0.25009155832026475,No,1
{01},01,4,0.5000610388810856,No,1
{01},01,5,0.6545506740171345,No,1
{01},01,6,0.7500305194406942,No,1
{01},01,7,0.8117678826907102,No,1
{01},01,8,0.8535712684677379,No,1
{10},10,2,0.0023193359375,Yes,53
{10},10,3,0.2500228871359518,No,64
{10},10,4,0.5000152585562389,No,64
{10},10,5,0.6545190406664798,No,64
{10},10,6,0.7500076293557265,No,64
{10},10,7,0.8117506459987299,No,64
{10},10,8,0.853557859777417,No,64
"{01,10,11}",01 10 11,2,6.123233995736766e-17,Yes,1
"{01,10,11}",01 10 11,3,0.34073096145212367,No,1
"{01,10,11}",01 10 11,4,0.5000488287209882,No,1
"{01,10,11}",01 10 11,5,0.5950612868492495,No,1
"{01,10,11}",01 10 11,6,0.661483967214278,No,1
"{01,10,11}",01 10 11,7,0.7118833202745674,No,1
"{01,10,11}",01 10 11,8,0.7521219052825737,No,1
A_3,101 111,2,6.123233995736766e-17,Yes,1
A_3,101 111,3,0.29603124854668594,No,1
A_3,101 111,4,0.4809734515954897,No,1
A_3,101 111,5,0.5975368644747204,No,1
A_3,101 111,6,0.6761424334246692,No,1
A_3,101 111,7,0.7322598775631234,No,1
A_3,101 111,8,0.7745945634535069,No,1
A_4,1001 1011 1101 1111,2,6.123233995736766e-17,Yes,1
A_4,1001 1011 1101 1111,3,0.28868190737623856,No,2
A_4,1001 1011 1101 1111,4,0.4650111818507333,No,2
A_4,1001 1011 1101 1111,5,0.5835079824458344,No,1
A_4,1001 1011 1101 1111,6,0.6699980561785113,No,1
A_4,1001 1011 1101 1111,7,0.7319327297102531,No,1
A_4,1001 1011 1101 1111,8,0.7780107292831732,No,1
A_5,10001 10011 10101 10111 11001 11011 11101 11111,2,6.123233995736766e-17,Yes,1
A_5,10001 10011 10101 10111 11001 11011 11101 11111,3,0.29078398196429783,No,4
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4,0.47145722950283436,No,4
A_5,10001 10011 10101 10111 11001 11011 11101 11111,5,0.5831713542692124,No,4
A_5,10001 10011 10101 10111 11001 11011 11101 11111,6,0.6660876221210497,No,2
A_5,10001 10011 10101 10111 11001 11011 11101 11111,7,0.7276034914026701,No,2
A_5,10001 10011 10101 10111 11001 11011 11101 11111,8,0.7762009821050325,No,1
K4_01_001_101,01 001 101,2,1.0,No,1
K4_01_001_101,01 001 101,3,0.25009155832026475,No,1
K4_01_001_101,01 001 101,4,0.0023193359375,Yes,53
K4_01_001_101,01 001 101,5,0.1427093273975995,No,3
K4_01_001_101,01 001 101,6,0.25009155832026464,No,1
K4_01_001_101,01 001 101,7,0.388814154331437,No,1
K4_01_001_101,01 001 101,8,0.5000610388810853,No,1
K4_10_010_110,10 010 110,2,1.0,No,1
K4_10_010_110,10 010 110,3,0.2500228871359518,No,64
K4_10_010_110,10 010 110,4,0.0023193359375,Yes,53
K4_10_010_110,10 010 110,5,0.14296229848645267,No,3
K4_10_010_110,10 010 110,6,0.25002288713595167,No,64
K4_10_010_110,10 010 110,7,0.38875818676334684,No,64
K4_10_010_110,10 010 110,8,0.5000152585562387,No,64
K4_11_011_111,11 011 111,2,1.0,No,1
K4_11_011_111,11 011 111,3,0.34064458891336236,No,1
K4_11_011_111,11 011 111,4,6.123233995736766e-17,Yes,1
K4_11_011_111,11 011 111,5,0.20750643992942597,No,1
K4_11_011_111,11 011 111,6,0.34064458891336213,No,1
K4_11_011_111,11 011 111,7,0.4324711464809125,No,1
K4_11_011_111,11 011 111,8,0.4999755913021797,No,1
K4_01_10,01 10,2,1.0,No,1
K4_01_10,01 10,3,0.5000000111758708,No,1
K4_01_10,01 10,4,0.0020751953125,Yes,45
K4_01_10,01 10,5,0.3090170161831759,No,1
K4_01_10,01 10,6,0.5000000111758706,No,1
K4_01_10,01 10,7,0.6234898091631759,No,1
K4_01_10,01 10,8,0.7071067864549033,No,1
K4_01_010_110,01 010 110,2,1.0,No,1
K4_01_010_110,01 010 110,3,0.5000000111758708,No,1
K4_01_010_110,01 010 110,4,0.0020751953125,Yes,45
K4_01_010_110,01 010 110,5,0.3090170161831759,No,1
K4_01_010_110,01 010 110,6,0.5000000111758706,No,1
K4_01_010_110,01 010 110,7,0.6234898091631759,No,1
K4_01_010_110,01 010 110,8,0.7071067864549033,No,1
K4_10_001_101,10 001 101,2,1.0,No,1
K4_10_001_101,10 001 101,3,0.5000000111758708,No,1
K4_10_001_101,10 001 101,4,0.0020751953125,Yes,45
K4_10_001_101,10 001 101,5,0.3090170161831759,No,1
K4_10_001_101,10 001 101,6,0.5000000111758706,No,1
K4_10_001_101,10 001 101,7,0.6234898091631759,No,1
K4_10_001_101,10 001 101,8,0.7071067864549033,No,1
K4_001_010_101_110,001 010 101 110,2,1.0,No,1
K4_001_010_101_110,001 010 101 110,3,0.5000000111758708,No,1
K4_001_010_101_110,001 010 101 110,4,0.0020751953125,Yes,45
K4_001_010_101_110,001 010 101 110,5,0.3090170161831759,No,1
K4_001_010_101_110,001 010 101 110,6,0.5000000111758706,No,1
K4_001_010_101_110,001 010 101 110,7,0.6234898091631759,No,1
K4_001_010_101_110,001 010 101 110,8,0.7071067864549033,No,1
K4_1_01_10,1 01 10,2,0.3359375,No,64
K4_1_01_10,1 01 10,3,0.18894764232953828,No,1
K4_1_01_10,1 01 10,4,0.0012831906763689116,Yes,51
K4_1_01_10,1 01 10,5,0.15920974933472082,No,1
K4_1_01_10,1 01 10,6,0.288763232867146,No,1
K4_1_01_10,1 01 10,7,0.39379237778757076,No,1
K4_1_01_10,1 01 10,8,0.47977078856241534,No,1
K4_1_01_001_101,1 01 001 101,2,0.3359375,No,64
K4_1_01_001_101,1 01 001 101,3,0.3406445889133622,No,1
K4_1_01_001_101,1 01 001 101,4,0.00177107154889486,Yes,43
K4_1_01_001_101,1 01 001 101,5,0.14134368033992528,No,1
K4_1_01_001_101,1 01 001 101,6,0.14715990070991858,No,64
K4_1_01_001_101,1 01 001 101,7,0.24715681016309685,No,32
K4_1_01_001_101,1 01 001 101,8,0.3400996539434486,No,16
K4_1_01_010_110,1 01 010 110,2,0.3359375,No,64
K4_1_01_010_110,1 01 010 110,3,0.18894764232953828,No,1
K4_1_01_010_110,1 01 010 110,4,0.0012831906763689116,Yes,51
K4_1_01_010_110,1 01 010 110,5,0.15920974933472082,No,1
K4_1_01_010_110,1 01 010 110,6,0.288763232867146,No,1
K4_1_01_010_110,1 01 010 110,7,0.39379237778757076,No,1
K4_1_01_010_110,1 01 010 110,8,0.47977078856241534,No,1
K4_1_10_001_101,1 10 001 101,2,0.3359375,No,64
K4_1_10_001_101,1 10 001 101,3,0.18894764232953828,No,1
K4_1_10_001_101,1 10 001 101,4,0.0012831906763689116,Yes,51
K4_1_10_001_101,1 10 001 101,5,0.15920974933472082,No,1
K4_1_10_001_101,1 10 001 101,6,0.288763232867146,No,1
K4_1_10_001_101,1 10 001 101,7,0.39379237778757076,No,1
K4_1_10_001_101,1 10 001 101,8,0.47977078856241534,No,1
K4_1_10_010_110,1 10 010 110,2,0.3359375,No,64
K4_1_10_010_110,1 10 010 110,3,0.2500523199527773,No,1
K4_1_10_010_110,1 10 010 110,4,0.0017710715488949125,Yes,43
K4_1_10_010_110,1 10 010 110,5,0.21988438022785708,No,1
K4_1_10_010_110,1 10 010 110,6,0.38186800009903366,No,1
K4_1_10_010_110,1 10 010 110,7,0.49985280022670964,No,1
K4_1_10_010_110,1 10 010 110,8,0.587686313149776,No,1
K4_1_11_011_111,1 11 011 111,2,0.3359375,No,64
K4_1_11_011_111,1 11 011 111,3,0.25009155832026475,No,1
K4_1_11_011_111,1 11 011 111,4,0.0017710715488949156,Yes,43
K4_1_11_011_111,1 11 011 111,5,0.18718328953992577,No,1
K4_1_11_011_111,1 11 011 111,6,0.30044849989085354,No,1
K4_1_11_011_111,1 11 011 111,7,0.3763827425824161,No,1
K4_1_11_011_111,1 11 011 111,8,0.43148715862432424,No,1
K4_001_010_100_111,001 010 100 111,2,0.6666259765625,No,1
K4_001_010_100_111,001 010 100 111,3,0.3689951887692573,No,1
K4_001_010_100_111,001 010 100 111,4,0.0014673846777553373,Yes,51
K4_001_010_100_111,001 010 100 111,5,0.2625124935661401,No,1
K4_001_010_100_111,001 010 100 111,6,0.4388957791422176,No,1
K4_001_010_100_111,001 010 100 111,7,0.5601900372075497,No,1
K4_001_010_100_111,001 010 100 111,8,0.6464025834195662,No,1
K4_001_011_100_110,001 011 100 110,2,1.0,No,2
K4_001_011_100_110,001 011 100 110,3,0.312591557203414,No,2
K4_001_011_100_110,001 011 100 110,4,0.001342773437499954,Yes,55
K4_001_011_100_110,001 011 100 110,5,0.20236466540868914,No,1
K4_001_011_100_110,001 011 100 110,6,0.3750915564587558,No,1
K4_001_011_100_110,001 011 100 110,7,0.5061892876940469,No,1
K4_001_011_100_110,001 011 100 110,8,0.603614428835343,No,1
